POSTNR_TXT,POSTBYNAVN,areal_reel
8305,Sams,114.703154
6720,Fan,59.7233245
9670,Lgstr,188.146372
8300,Odder,199.492428
4780,Stege,127.185865
7300,Jelling,86.0056694
8860,Ulstrup,79.1514636
3550,Slangerup,44.7197588
3250,Gilleleje,35.6493540
3720,Aakirkeby,142.218803
9280,Storvorde,170.482111
5985,Sby r,19.1030247
8900,Randers C,2.32643359
1799,Kbenhavn V,0.33581861
2850,Nrum,8.16168987
5463,Harndrup,23.7828755
3330,Grlse,13.3116524
5464,Brenderup Fyn,28.2412121
5466,Asperup,21.6810152
6091,Bjert,33.8781952
6840,Oksbl,118.548478
6092,Snder Stenderup,30.7380685
6094,Hejls,15.4478859
7120,Vejle st,27.4813349
4733,Tappernje,62.9488154
4736,Karrebksminde,17.0538679
5260,Odense S,44.1123265
5300,Kerteminde,62.2350849
3200,Helsinge,94.3132590
6650,Brrup,105.238321
5854,Gislev,24.6723470
5856,Ryslinge,9.98960602
5853,rbk,88.5563910
4960,Holeby,43.5307898
8230,byhj,4.71298443
4320,Lejre,46.0025002
8600,Silkeborg,279.210690
6980,Tim,104.284417
3140,lsgrde,5.90245781
4654,Faxe Ladeplads,14.9535258
4653,Karise,50.1059345
4652,Hrlev,60.9631669
3670,Veks Sjlland,25.2248603
2820,Gentofte,9.51006116
4550,Asns,26.9938378
3770,Allinge,35.8052871
2980,Kokkedal,24.5224905
8732,Hovedgrd,44.9684037
7884,Fur,22.228098
5000,Odense C,18.9395658
2760,Mlv,5.93196200
9520,Skrping,157.922707
2765,Smrum,30.9756364
6933,Kibk,193.365301
5672,Broby,99.2189904
3740,Svaneke,31.4377089
7860,Spttrup,189.558631
5771,Stenstrup,68.3253026
9480,Lkken,119.051372
4350,Ugerlse,31.3480668
6270,Tnder,183.672120
7700,Thisted,461.959986
6240,Lgumkloster,202.001218
8585,Glesborg,82.6413835
4420,Regstrup,53.9662514
6500,Vojens,244.887403
4623,Lille Skensved,29.6871844
6070,Christiansfeld,131.326387
4952,Stokkemarke,39.2450019
4953,Vesterborg,30.5054330
6372,Bylderup-Bov,128.626332
8586,rum Djurs,56.9611485
9340,Asaa,48.8559811
2610,Rdovre,12.3856518
4140,Borup,60.5872738
8462,Harlev J,30.0289824
4100,Ringsted,266.177378
8464,Galten,69.0274031
9631,Gedsted,33.7753565
9320,Hjallerup,101.081922
8340,Malling,29.0571579
8940,Randers SV,53.0454920
3450,Allerd,32.3795248
6430,Nordborg,124.626752
5700,Svendborg,148.358450
7260,Snder Omme,84.2914239
8355,Solbjerg,24.9215298
6200,Aabenraa,264.686514
7550,Srvad,56.4516813
2680,Solrd Strand,19.8170956
6800,Varde,314.262312
4772,Langebk,22.9118189
4773,Stensved,20.5932339
4771,Kalvehave,11.8300750
7000,Fredericia,174.326082
4174,Jystrup Midtsj,33.1597333
5953,Tranekr,105.691668
4171,Glums,62.0943753
4173,Fjenneslev,43.6922453
6752,Glejbjerg,49.2882335
6753,Agerbk,32.3318915
5220,Odense S,54.9229296
4070,Kirke Hyllinge,53.9734147
3500,Vrlse,33.8281096
9940,Ls,117.708494
8930,Randers N,89.3722070
5792,rslev,60.9697753
8831,Lgstrup,58.2891132
8830,Tjele,283.694036
8832,Skals,100.639761
2860,Sborg,12.9573760
8560,Kolind,89.4775913
3630,Jgerspris,88.2776757
6893,Hemmet,85.1218915
3060,Espergrde,10.8800220
7171,Uldum,32.6992833
7173,Vonge,27.1036194
7673,Harbore,37.5897975
5350,Rynkeby,8.19894158
5450,Otterup,164.019146
6100,Haderslev,309.760174
6973,rnhj,57.0902367
6971,Spjald,116.542950
4250,Fuglebjerg,81.9266957
9440,Aabybro,158.200693
4500,Nykbing Sj,81.0935165
8240,Risskov,15.1208866
7900,Nykbing M,168.200891
4460,Snertinge,12.7937522
4912,Harpelunde,23.9705464
4913,Horslunde,75.0414194
8765,Klovborg,29.0182688
8766,Nrre Snede,68.5056454
8763,Rask Mlle,21.1944039
8762,Flemming,26.1130777
2942,Skodsborg,2.39370113
7182,Bredsten,51.4274356
7183,Randbl,67.2000306
7184,Vandel,34.3087429
8643,Ans By,39.1689002
8641,Sorring,18.9234320
9200,Aalborg SV,20.2923176
8420,Knebel,92.0266556
4261,Dalmose,42.6328791
2650,Hvidovre,22.2978983
9362,Gandrup,49.7392461
8382,Hinnerup,76.7332191
8381,Tilst,17.5641417
8380,Trige,25.3501990
8981,Spentrup,57.5710582
8983,Gjerlev J,83.4564453
7950,Erslev,67.8985519
8544,Mrke,71.4708508
4220,Korsr,46.1688403
6093,Sjlund,22.3279790
8543,Hornslet,69.9548236
5580,Nrre Aaby,48.7466036
7451,Sunds,117.894105
9830,Trs,80.3518322
6470,Sydals,94.1792601
3790,Hasle,38.6268502
5620,Glamsbjerg,92.7574728
9560,Hadsund,210.781034
4983,Dannemare,70.3676448
2150,Nordhavn,2.17288524
2400,Kbenhavn NV,7.00789508
4180,Sor,137.311239
9681,Ranum,30.3102728
4863,Eskilstrup,42.2520092
4230,Sklskr,113.128374
7752,Snedsted,132.375280
5380,Dalby,12.4930764
5591,Gelsted,34.1491591
4030,Tune,12.9146900
8330,Beder,15.3043381
5592,Ejby,64.2821660
9700,Brnderslev,221.374270
6792,Rm,86.3743935
6715,Esbjerg N,65.6834738
6710,Esbjerg V,59.1720286
8870,Lang,96.0422802
8520,Lystrup,22.5384883
9900,Frederikshavn,157.251194
4130,Viby Sjlland,36.4026002
4735,Mern,45.8018801
7850,Stoholm Jyll,67.6788039
5690,Tommerup,73.5417711
4480,Store Fuglede,27.7001999
8970,Havndal,145.764983
6855,Outrup,54.5050752
6854,Henne,56.5099873
6857,Blvand,56.7785726
2900,Hellerup,6.77235922
6851,Janderup Vestj,33.5591177
6853,Vejers Strand,38.1922277
